# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	82043
#@/user_id	Window-Corp
a 	啊	c=355 d=2.17411 t=82043
a yi 	阿姨	c=2 d=2.17795e-08 t=82043
a yong 	阿永	c=0 d=0.1 t=67405
a you 	阿尤	c=0 d=0.1 t=73262
ai 	唉	c=3 d=0.00559994 t=82043
ai 	爱	c=11 d=0.0062662 t=82043
ai 	矮	c=4 d=7.73311e-06 t=82043
ai dao de 	挨刀的	c=1 d=6.59196e-10 t=82043
ai di sheng 	爱迪生	c=1 d=1 t=49168
ai qing 	爱情	c=1 d=4.98719e-22 t=82043
ai ren 	爱人	c=1 d=4.45767e-26 t=82043
ai ren ti chu le 	爱人提出了	c=1 d=4.48002e-25 t=82043
ai shi 	爱是	c=7 d=1.19976e-22 t=82043
ai si 	爱思	c=10 d=2.95923e-15 t=82043
ai si wei 	爱思唯	c=1 d=9.78069e-30 t=82043
ai si wei er 	爱思唯尔	c=1 d=9.60758e-30 t=82043
ai ta 	矮塔	c=2 d=1.97045 t=75909
an 	安	c=3 d=4.05921e-41 t=82043
an 	岸	c=2 d=2.61525e-16 t=82043
an 	按	c=264 d=12.1237 t=82043
an 	暗	c=3 d=0.00790705 t=82043
an 	案	c=1 d=1.63644e-59 t=82043
an da shi 	安达市	c=1 d=3.50094e-65 t=82043
an di 	安迪	c=2 d=9.20993e-50 t=82043
an er 	庵儿	c=0 d=0.1 t=73123
an er ge 	庵儿个	c=1 d=1 t=73124
an fang 	安防	c=1 d=1 t=76021
an fu 	安抚	c=1 d=1 t=54256
an ge 	安格	c=2 d=5.11257e-20 t=82043
an han 	暗涵	c=1 d=0.293013 t=59991
an hao 	暗号	c=1 d=4.02511e-30 t=82043
an hui 	安徽	c=1 d=0.000283018 t=82043
an hui sheng 	安徽省	c=0 d=0.1 t=53188
an hui sheng nong hu 	安徽省农户	c=1 d=1 t=53189
an jia 	安家	c=1 d=2.9459e-93 t=82043
an jian 	按键	c=2 d=0.582748 t=82043
an jian 	案件	c=1 d=3.96169e-49 t=82043
an jue 	按决	c=1 d=8.49338e-21 t=82043
an kao 	按考	c=1 d=1 t=74462
an kuai 	按块	c=1 d=1.22053e-21 t=82043
an li 	按理	c=2 d=5.99165e-25 t=82043
an li 	案例	c=13 d=1.97825e-12 t=82043
an mo 	按摩	c=0 d=0.1 t=61823
an mo pai 	按摩排	c=1 d=1 t=61824
an niu 	按钮	c=6 d=0.0295994 t=82043
an pai 	安排	c=15 d=0.0632918 t=82043
an qu na 	按去哪	c=3 d=6.1484e-14 t=82043
an quan 	安全	c=77 d=1.51617 t=82043
an quan mao 	安全帽	c=1 d=2.71819e-29 t=82043
an quan xing 	安全性	c=2 d=5.56293e-08 t=82043
an shi feng deng 	暗室逢灯	c=1 d=1.18076e-43 t=82043
an wei 	安慰	c=1 d=2.7635e-47 t=82043
an xin 	安心	c=1 d=4.88345e-10 t=82043
an yi jian 	按意见	c=16 d=0.634708 t=82043
an zhao 	按照	c=9 d=0.0692529 t=82043
an zhi 	安置	c=1 d=1 t=68789
an zhuan 	暗转	c=2 d=8.09383e-41 t=82043
an zhuang 	安装	c=59 d=0.666977 t=82043
an zhuo 	安卓	c=4 d=2.36475e-26 t=82043
an zu 	案组	c=0 d=1.32972e-30 t=82043
an zu ang 	案组昂	c=2 d=2.85071e-29 t=82043
an zuan gan 	按钻杆	c=1 d=3.84198e-41 t=82043
an zuo 	安坐	c=1 d=1.20588e-26 t=82043
ang 	昂	c=0 d=1.32739e-27 t=82043
ang gui 	昂贵	c=0 d=1.181e-17 t=82043
ang gui jin 	昂贵进	c=1 d=1.18692e-16 t=82043
ang si 	盎司	c=0 d=1.39258e-44 t=82043
ang si da shi fu 	盎司大师傅	c=1 d=1.39956e-43 t=82043
ao 	凹	c=1 d=2.82029e-51 t=82043
ao 	熬	c=2 d=0.00733572 t=82043
ao an 	傲岸	c=0 d=0.1 t=48790
ao cao 	凹槽	c=1 d=0.941765 t=82043
ao chu 	熬出	c=1 d=1 t=65083
ao di 	奥迪	c=0 d=2.68977e-24 t=82043
ao di fa sheng de fa 	奥迪发生的发	c=1 d=2.70326e-23 t=82043
ao men 	澳门	c=1 d=1.32471e-14 t=82043
ao te man 	奥特曼	c=1 d=1.49254e-35 t=82043
ao tu 	凹凸	c=2 d=1.98511 t=67373
ao yun 	奥运	c=1 d=9.43369e-21 t=82043
ao yun hui 	奥运会	c=1 d=6.29741e-31 t=82043
ba 	八	c=9 d=1.62191e-13 t=82043
ba 	吧	c=328 d=3.01394 t=82043
ba 	坝	c=2 d=1.96079 t=69091
ba 	巴	c=5 d=2.82794e-55 t=82043
ba 	把	c=85 d=0.562141 t=82043
ba 	拔	c=12 d=1.23027e-21 t=82043
ba 	爸	c=5 d=1.07001e-18 t=82043
ba da 	八大	c=1 d=9.10892e-50 t=82043
ba ge 	八个	c=0 d=0.1 t=49529
ba gua 	八卦	c=2 d=2.93249e-10 t=82043
ba huang 	八荒	c=1 d=1.09802 t=82043
ba ju 	八局	c=5 d=6.65821e-10 t=82043
ba li 	巴黎	c=1 d=1 t=63920
ba ni jiao 	吧泥脚	c=1 d=1 t=66108
ba qi 	霸气	c=1 d=1.91776e-43 t=82043
ba wo 	把握	c=3 d=1.07657e-15 t=82043
ba zhi qi na 	吧之气拿	c=1 d=5.55933e-35 t=82043
ba zhi qian 	吧之前	c=1 d=3.75618e-40 t=82043
ba zhu 	霸主	c=1 d=1 t=46455
bai 	拜	c=2 d=1.91744e-41 t=82043
bai 	摆	c=1 d=5.32178e-80 t=82043
bai 	白	c=10 d=0.000706632 t=82043
bai 	百	c=1 d=3.67555e-20 t=82043
bai bian 	白边	c=1 d=2.30474e-29 t=82043
bai che 	掰扯	c=1 d=3.20572e-58 t=82043
bai du 	百度	c=38 d=0.985112 t=82043
bai fang 	拜访	c=1 d=1 t=66130
bai hu 	白虎	c=1 d=1.42686e-35 t=82043
bai jia 	百家	c=2 d=1.99005 t=44519
bai jiu 	白酒	c=1 d=1.80504e-95 t=82043
bai nian 	百年	c=1 d=4.27824e-71 t=82043
bai piao 	白嫖	c=1 d=4.64844e-18 t=82043
bai se 	白色	c=0 d=1.19596e-18 t=82043
bai se du 	白色度	c=1 d=1.20195e-17 t=82043
bai tian 	白天	c=1 d=1.19731e-89 t=82043
bai wan 	掰弯	c=1 d=9.45106e-72 t=82043
bai zao sheng 	白噪声	c=1 d=2.65704e-26 t=82043
bai zao yin 	白噪音	c=1 d=1.18301e-36 t=82043
ban 	办	c=5 d=3.92738e-09 t=82043
ban 	半	c=28 d=0.10946 t=82043
ban 	板	c=129 d=1.37527 t=82043
ban 	班	c=10 d=0.000166586 t=82043
ban ben 	版本	c=103 d=0.133324 t=82043
ban ci 	版次	c=1 d=1 t=55779
ban dan yuan 	板单元	c=1 d=1 t=64116
ban dao 	搬到	c=1 d=1.88825e-37 t=82043
ban fa 	办法	c=7 d=6.68113e-21 t=82043
ban fen 	半分	c=1 d=2.68603e-36 t=82043
ban ge 	半个	c=4 d=1.99005 t=65240
ban gong 	办公	c=6 d=0.000114665 t=82043
ban gong lou 	办公楼	c=1 d=2.34276e-45 t=82043
ban gong shi 	办公室	c=7 d=4.27275e-18 t=82043
ban hou 	板厚	c=1 d=0.895834 t=82043
ban jia 	搬家	c=3 d=2.39594e-15 t=82043
ban jing 	半径	c=13 d=0.371577 t=82043
ban kuai 	板块	c=1 d=8.02629e-32 t=82043
ban li 	办理	c=5 d=2.56972e-15 t=82043
ban liang 	板梁	c=24 d=1.77864e-10 t=82043
ban lu 	半路	c=1 d=2.32355e-07 t=82043
ban lv 	伴侣	c=1 d=3.00611e-37 t=82043
ban nian 	半年	c=0 d=4.50171e-24 t=82043
ban qian 	搬迁	c=1 d=0.000107825 t=82043
ban qiao 	板桥	c=3 d=7.53191e-44 t=82043
ban quan 	版权	c=3 d=2.17992e-21 t=82043
ban shi 	板式	c=6 d=4.95978e-16 t=82043
ban tian 	半天	c=1 d=9.5942e-43 t=82043
ban tian 	阪田	c=3 d=1.96079 t=79042
ban wo 	伴我	c=1 d=1 t=58430
ban xian 	半仙	c=1 d=4.45815e-85 t=82043
ban ye 	半夜	c=2 d=1.97825e-26 t=82043
ban yun 	搬运	c=2 d=8.38543e-38 t=82043
ban zhuan 	搬砖	c=1 d=3.44013e-06 t=82043
bang 	帮	c=4 d=1.73532e-14 t=82043
bang 	棒	c=1 d=2.94139e-75 t=82043
bang 	浜	c=23 d=0.122456 t=82043
bang 	磅	c=3 d=0.209088 t=82043
bang ding 	绑定	c=4 d=5.60375e-11 t=82043
bang mang 	帮忙	c=4 d=1.66427e-21 t=82043
bang ni 	帮你	c=7 d=8.45175e-05 t=82043
bang ni men 	帮你门	c=1 d=2.35498e-18 t=82043
bang wo 	帮我	c=22 d=0.801723 t=82043
bang za 	绑扎	c=4 d=1.91021e-26 t=82043
bang zai 	绑在	c=1 d=8.26176e-78 t=82043
bang zha 	绑扎	c=3 d=6.1367e-21 t=82043
bang zhu 	帮助	c=4 d=0.10383 t=82043
bao 	保	c=25 d=0.648326 t=82043
bao 	包	c=28 d=1.55585 t=82043
bao 	宝	c=1 d=1 t=60885
bao 	报	c=7 d=1.27013e-19 t=82043
bao 	爆	c=1 d=9.5295e-81 t=82043
bao 	薄	c=3 d=2.2332e-11 t=82043
bao 	豹	c=7 d=1.37877e-14 t=82043
bao 	饱	c=1 d=2.69949e-36 t=82043
bao an 	保安	c=1 d=7.43471e-43 t=82043
bao bao 	包包	c=1 d=1 t=48289
bao bao 	宝宝	c=1 d=1 t=48288
bao bei 	宝贝	c=1 d=0.0655462 t=82043
bao bei 	报备	c=13 d=0.0652193 t=82043
bao bi 	薄壁	c=1 d=1.81112e-17 t=82043
bao bu bao han 	包不包含	c=1 d=1.72133e-07 t=82043
bao ceng 	薄层	c=6 d=0.000829241 t=82043
bao chi 	保持	c=7 d=4.56353e-07 t=82043
bao chu 	爆出	c=1 d=2.13414e-36 t=82043
bao cun 	保存	c=12 d=1.84977e-29 t=82043
bao cuo 	报错	c=13 d=8.6995e-09 t=82043
bao dian 	宝典	c=1 d=2.87139e-27 t=82043
bao er mo 	鲍尔默	c=0 d=0.1 t=61868
bao er mo lai 	鲍尔默来	c=1 d=1 t=61869
bao feng 	包封	c=4 d=5.38202e-36 t=82043
bao fu 	包袱	c=1 d=1 t=66692
bao gao 	报告	c=21 d=0.000374803 t=82043
bao ge 	豹哥	c=1 d=8.07228e-11 t=82043
bao guang 	曝光	c=1 d=2.24944e-08 t=82043
bao gui 	保贵	c=6 d=0.543351 t=82043
bao guo 	包裹	c=1 d=1 t=69052
bao han 	包含	c=10 d=0.603506 t=82043
bao hu 	保护	c=7 d=0.00990218 t=82043
bao hu ceng 	保护层	c=4 d=5.9019e-24 t=82043
bao jia 	报价	c=1 d=1.56208e-12 t=82043
bao jian 	保健	c=4 d=6.82774e-92 t=82043
bao jing 	报警	c=2 d=4.34244e-11 t=82043
bao ke meng 	宝可梦	c=3 d=1.35703e-17 t=82043
bao kuo 	包括	c=19 d=7.40185e-15 t=82043
bao lei 	堡垒	c=6 d=5.81958 t=60744
bao lei 	暴雷	c=1 d=3.88667e-30 t=82043
bao liu 	保留	c=13 d=0.00504176 t=82043
bao lu 	暴露	c=1 d=8.17173e-08 t=82043
bao luo 	包络	c=18 d=2.48619e-08 t=82043
bao luo tu 	包络图	c=7 d=4.66177e-08 t=82043
bao ma 	宝马	c=1 d=2.19652e-22 t=82043
bao ming 	报名	c=3 d=0.00941925 t=82043
bao shan 	保山	c=2 d=4.34082e-36 t=82043
bao shan 	宝山	c=15 d=1.40409e-16 t=82043
bao shou 	保守	c=1 d=4.46693e-20 t=82043
bao ta 	宝塔	c=2 d=5.41979e-50 t=82043
bao xiao 	报销	c=9 d=0.13381 t=82043
bao yu 	暴雨	c=1 d=4.60375e-22 t=82043
bao zha 	爆炸	c=1 d=5.19956e-42 t=82043
bao zhang 	保障	c=7 d=7.37654e-15 t=82043
bao zhe 	抱着	c=1 d=2.11982e-45 t=82043
bao zheng 	保证	c=30 d=0.374716 t=82043
bao zhu 	包住	c=2 d=6.11363e-06 t=82043
bei 	倍	c=8 d=2.00058e-11 t=82043
bei 	北	c=81 d=0.587972 t=82043
bei 	呗	c=11 d=0.0111649 t=82043
bei 	杯	c=1 d=2.32934e-95 t=82043
bei 	背	c=19 d=0.612626 t=82043
bei 	被	c=23 d=0.802519 t=82043
bei an 	备案	c=1 d=0.00480747 t=82043
bei bao 	背包	c=1 d=2.7051e-31 t=82043
bei bian 	北边	c=1 d=0.153355 t=82043
bei bu 	北部	c=1 d=1 t=69565
bei ce 	北侧	c=49 d=1.59295 t=82043
bei da 	北大	c=1 d=1 t=76678
bei dou 	北斗	c=1 d=4.29105e-18 t=82043
bei fang 	北方	c=1 d=0.631284 t=82043
bei fen 	备份	c=17 d=0.063609 t=82043
bei jing 	北京	c=21 d=0.465334 t=82043
bei jing 	背景	c=7 d=1.65383e-07 t=82043
bei kai chu 	被开除	c=1 d=3.22573e-43 t=82043
bei lei 	贝雷	c=1 d=5.25646e-23 t=82043
bei lu 	北路	c=17 d=0.0971169 t=82043
bei qiang 	背墙	c=5 d=1 t=58715
bei qing 	悲情	c=1 d=1 t=64596
bei ren 	被人	c=1 d=2.08258e-13 t=82043
bei ren de 	北人的	c=1 d=1 t=57464
bei ta 	贝塔	c=2 d=0.590579 t=82043
bei xian 	北县	c=1 d=1.0083e-09 t=82043
bei xuan 	备选	c=4 d=8.50231e-18 t=82043
bei yan 	北延	c=1 d=1 t=58171
bei zhu 	备注	c=19 d=0.139206 t=82043
ben 	本	c=64 d=1.45452 t=82043
ben bi 	本币	c=1 d=1.48894e-36 t=82043
ben cai liao 	本材料	c=1 d=3.14716e-47 t=82043
ben ce 	本册	c=1 d=6.85726e-33 t=82043
ben chi 	奔驰	c=1 d=2.24089e-22 t=82043
ben ci 	本次	c=10 d=0.501576 t=82043
ben di 	本地	c=12 d=0.00258599 t=82043
ben di qu 	本地区	c=1 d=1 t=74654
ben fang an 	本方案	c=1 d=1 t=77764
ben gong 	本宫	c=1 d=1 t=73096
ben gong cheng 	本工程	c=5 d=1.94242 t=82043
ben jie 	本届	c=0 d=0.1 t=65605
ben jie dian 	本节点	c=1 d=1 t=78710
ben jie duan 	本届段	c=1 d=1 t=65606
ben ke 	本科	c=2 d=5.93746e-35 t=82043
ben ke sheng 	本科生	c=1 d=2.93121e-93 t=82043
ben kui 	奔溃	c=2 d=1.99501 t=61093
ben lai 	本来	c=4 d=1.86495e-38 t=82043
ben lai shi 	本来是	c=1 d=4.27765e-40 t=82043
ben lai xiang 	本来想	c=1 d=5.13907e-22 t=82043
ben nian 	本年	c=3 d=1.34094 t=66028
ben qiao 	本桥	c=1 d=1 t=74601
ben ren 	本人	c=9 d=6.4373e-07 t=82043
ben shen 	本身	c=5 d=4.63407e-11 t=82043
ben shu 	本书	c=0 d=0.1 t=61227
ben tu 	本图	c=7 d=1.451e-16 t=82043
ben tu 	本土	c=20 d=1.40252 t=82043
ben wen 	本文	c=4 d=6.43055e-21 t=82043
ben xiang 	本想	c=1 d=6.92478e-60 t=82043
ben xiang mu 	本项目	c=8 d=2.15229e-18 t=82043
ben yan jiu 	本研究	c=1 d=4.68144e-13 t=82043
ben zhan 	本站	c=1 d=0.119433 t=82043
ben zhe 	本着	c=1 d=1 t=65245
ben zhou 	本周	c=1 d=1.56986e-41 t=82043
ben zhuan ye 	本专业	c=1 d=8.7732e-20 t=82043
beng 	泵	c=5 d=4.75381e-17 t=82043
beng fang 	泵房	c=2 d=5.55088e-17 t=82043
beng kui 	崩溃	c=2 d=8.58897e-35 t=82043
beng zha 	泵闸	c=5 d=1.27972e-90 t=82043
bi 	壁	c=4 d=0.644036 t=82043
bi 	币	c=1 d=2.39123e-80 t=82043
bi 	必	c=1 d=1 t=79940
bi 	比	c=15 d=0.392747 t=82043
bi 	沘	c=1 d=1 t=50428
bi 	笔	c=1 d=9.95118e-61 t=82043
bi 	臂	c=1 d=2.3155e-25 t=82043
bi 	避	c=1 d=4.68129e-42 t=82043
bi bei 	必备	c=1 d=1.51422e-87 t=82043
bi duan 	弊端	c=1 d=1.13763e-17 t=82043
bi dui 	比对	c=2 d=4.40957e-15 t=82043
bi guo 	必过	c=1 d=1 t=64473
bi guo 	比国	c=1 d=1 t=64472
bi he 	闭合	c=2 d=1 t=63130
bi ji 	笔记	c=2 d=1.48691e-21 t=82043
bi ji ben 	笔记本	c=1 d=1 t=55678
bi ji de 	笔记的	c=1 d=5.57183e-32 t=82043
bi jiao 	比较	c=30 d=0.0337336 t=82043
bi jing 	毕竟	c=8 d=0.822835 t=82043
bi kai 	避开	c=10 d=2.18469e-05 t=82043
bi lei 	毕磊	c=1 d=1.36264e-52 t=82043
bi lei 	避雷	c=4 d=1.27026e-46 t=82043
bi li 	比例	c=14 d=0.365996 t=82043
bi mian 	避免	c=5 d=3.49674e-20 t=82043
bi na 	比那	c=1 d=5.07307e-17 t=82043
bi qi 	比起	c=1 d=2.44726e-29 t=82043
bi rang 	避让	c=1 d=9.80334e-32 t=82043
bi ru 	比如	c=3 d=1.9119e-07 t=82043
bi se 	闭塞	c=1 d=1.63338e-37 t=82043
bi shi 	壁式	c=1 d=0.951229 t=82043
bi shu 	避暑	c=1 d=3.89582e-87 t=82043
bi wo 	比我	c=2 d=1.00001 t=62277
bi xiu 	必修	c=1 d=7.0673e-35 t=82043
bi xu 	必须	c=8 d=2.18786e-05 t=82043
bi xuan 	必选	c=10 d=7.82157e-18 t=82043
bi xuan 	比选	c=18 d=1.69336e-09 t=82043
bi ya di 	比亚迪	c=2 d=5.07858e-22 t=82043
bi yao 	必要	c=1 d=3.01082e-26 t=82043
bi ye 	毕业	c=9 d=5.18225e-09 t=82043
bi yuan 	闭源	c=1 d=1 t=60679
bi yuan 	鼻渊	c=1 d=1 t=60678
bi zhi 	壁纸	c=1 d=1 t=51944
bi zhu 	逼住	c=1 d=2.05863e-24 t=82043
bian 	便	c=3 d=6.65934e-12 t=82043
bian 	卞	c=1 d=1 t=75375
bian 	变	c=21 d=0.00227676 t=82043
bian 	扁	c=1 d=1.17811e-46 t=82043
bian 	编	c=1 d=6.98485e-44 t=82043
bian 	边	c=149 d=0.559898 t=82043
bian ban 	编班	c=2 d=2.11952e-14 t=82043
bian chang 	边唱	c=1 d=1.218e-26 t=82043
bian cheng 	变成	c=4 d=2.84485e-06 t=82043
bian cheng 	编程	c=10 d=0.25924 t=82043
bian da 	变大	c=1 d=2.51656e-34 t=82043
bian dian 	变电	c=1 d=1.34564e-22 t=82043
bian dong 	变动	c=20 d=7.2794e-05 t=82043
bian dun 	变钝	c=2 d=4.24451e-85 t=82043
bian gao 	变高	c=1 d=1 t=68230
bian gao du 	变高度	c=1 d=1 t=69649
bian gen 	便跟	c=1 d=3.48667e-17 t=82043
bian geng 	变更	c=5 d=3.35866e-16 t=82043
bian hao 	编号	c=14 d=0.0734804 t=82043
bian hua 	变化	c=25 d=3.58053e-06 t=82043
bian ji 	编辑	c=11 d=8.11274e-11 t=82043
bian jia 	变价	c=1 d=1 t=66375
bian jie 	便捷	c=2 d=9.3624e-20 t=82043
bian jie 	边界	c=8 d=6.27047e-10 t=82043
bian jie xian 	边界线	c=1 d=9.98915e-47 t=82043
bian kua 	边跨	c=10 d=5.09118e-15 t=82043
bian kuan 	变宽	c=3 d=2.92541e-12 t=82043
bian kuan duan 	变宽段	c=1 d=2.94008e-11 t=82043
bian le 	变了	c=1 d=1 t=49666
bian li 	便利	c=1 d=1 t=73926
bian liang 	变量	c=11 d=0.57695 t=82043
bian liang 	边梁	c=4 d=0.355226 t=82043
bian ma 	编码	c=4 d=0.307279 t=82043
bian man 	变慢	c=1 d=1 t=81806
bian po 	变坡	c=4 d=4.86224e-47 t=82043
bian po 	边坡	c=2 d=4.77576e-18 t=82043
bian po dian 	边坡点	c=1 d=4.01186e-50 t=82043
bian qi 	便器	c=1 d=0.637628 t=82043
bian qian 	变迁	c=1 d=1 t=71610
bian qiang 	变强	c=1 d=8.3786e-08 t=82043
bian qiao 	便桥	c=1 d=3.37776e-26 t=82043
bian shang 	边上	c=8 d=0.00107547 t=82043
bian tong 	变通	c=1 d=7.31133e-52 t=82043
bian wai 	编外	c=1 d=5.64546e-10 t=82043
bian wei 	变位	c=1 d=2.13566e-15 t=82043
bian xian 	边线	c=5 d=1.50211e-22 t=82043
bian xiao 	变小	c=1 d=0.540641 t=82043
bian xie 	便携	c=1 d=1.23335e-85 t=82043
bian xie 	编写	c=9 d=1.58078e-49 t=82043
bian xing 	变形	c=24 d=1.07803e-10 t=82043
bian yi 	编译	c=6 d=0.366045 t=82043
bian yi hao 	编译号	c=1 d=9.26609e-16 t=82043
bian yu 	便于	c=2 d=1.96561 t=71059
bian yuan 	边缘	c=7 d=0.00483516 t=82043
bian zhi 	编制	c=1 d=1.01788e-32 t=82043
bian zhi dai 	编制带	c=2 d=3.54663e-52 t=82043
bian zhi dai 	编织袋	c=1 d=5.01101e-78 t=82043
bian zhu 	编著	c=1 d=9.99968e-30 t=82043
bian zi 	辫子	c=1 d=2.29598e-43 t=82043
biao 	彪	c=2 d=1.98337e-27 t=82043
biao 	标	c=60 d=0.129092 t=82043
biao 	表	c=145 d=2.73413 t=82043
biao bi 	表笔	c=1 d=0.111359 t=82043
biao ceng 	表层	c=1 d=1.37465e-67 t=82043
biao chu lai 	标出来	c=1 d=3.864e-20 t=82043
biao da 	表达	c=2 d=4.83583e-34 t=82043
biao da shi 	表达式	c=3 d=2.0441 t=54262
biao dan 	表单	c=6 d=1.36106e-09 t=82043
biao duan 	标段	c=83 d=0.099164 t=82043
biao dun 	标吨	c=2 d=3.18511e-71 t=82043
biao gao 	标高	c=120 d=1.83249 t=82043
biao ge 	表格	c=27 d=3.44589 t=82043
biao hao 	标号	c=3 d=0.000202454 t=82043
biao hu zong nan 	表胡宗南	c=1 d=4.13628e-27 t=82043
biao hun 	表混	c=1 d=2.5572e-46 t=82043
biao ji 	标记	c=1 d=1 t=67431
biao mian 	表面	c=9 d=0.0265162 t=82043
biao mian de 	表面的	c=1 d=1.71834e-16 t=82043
biao ming 	表明	c=3 d=1.70822 t=63340
biao qian 	标签	c=1 d=2.33036e-12 t=82043
biao qiang 	标枪	c=1 d=1 t=44738
biao qing 	表情	c=1 d=1.50365e-34 t=82043
biao shi 	标示	c=3 d=4.27997e-17 t=82043
biao shi 	表示	c=15 d=0.000247277 t=82043
biao shu 	标书	c=5 d=1 t=66064
biao shu 	表述	c=3 d=5.55303e-42 t=82043
biao ti 	标题	c=9 d=0.0117959 t=82043
biao xian 	标线	c=1 d=2.71773e-27 t=82043
biao xian 	表现	c=2 d=1.70736e-14 t=82043
biao yan 	表演	c=1 d=7.90411e-28 t=82043
biao zhi 	标志	c=18 d=0.000254793 t=82043
biao zhi nv 	表侄女	c=3 d=1.80746e-20 t=82043
biao zhong 	表中	c=3 d=0.467666 t=82043
biao zhu 	标注	c=40 d=1.13401 t=82043
biao zhun 	标准	c=246 d=1.65629 t=82043
biao zhun de 	标准的	c=1 d=2.97215e-21 t=82043
biao zhun duan 	标准段	c=3 d=2.52316e-06 t=82043
bie 	别	c=15 d=0.0028143 t=82043
bie biao 	别表	c=1 d=2.34356e-49 t=82043
bie de 	别的	c=2 d=8.96749e-13 t=82043
bie ming 	别名	c=1 d=0.0332068 t=82043
bie qu 	憋屈	c=1 d=1 t=68575
bie ren 	别人	c=2 d=5.03286e-41 t=82043
bie ting 	别听	c=1 d=2.3314e-76 t=82043
bin 	彬	c=1 d=7.26002e-28 t=82043
bin 	斌	c=15 d=1.36388 t=82043
bin 	滨	c=2 d=3.45128e-44 t=82043
bin fen 	缤纷	c=2 d=1.69317e-93 t=82043
bin hai 	滨海	c=1 d=5.37378e-18 t=82043
bin he 	滨河	c=1 d=1 t=63883
bin shui 	滨水	c=1 d=1 t=75338
bing 	丙	c=4 d=0.000790558 t=82043
bing 	冰	c=8 d=0.779602 t=82043
bing 	并	c=66 d=2.57098 t=82043
bing 	病	c=1 d=5.83623e-48 t=82043
bing cheng 	秉承	c=1 d=3.00877e-18 t=82043
bing ding 	丙丁	c=1 d=1.01819e-65 t=82043
bing du 	病毒	c=1 d=3.91093e-15 t=82043
bing fa 	并发	c=5 d=5.14419e-24 t=82043
bing gan 	饼干	c=1 d=1 t=54949
bing hai 	病害	c=2 d=1.65491e-13 t=82043
bing hao 	病好	c=1 d=2.36067e-17 t=82043
bing ji ling 	冰激凌	c=2 d=3.9842e-43 t=82043
bing ju 	病句	c=1 d=1 t=76113
bing lei 	丙类	c=2 d=9.91399e-17 t=82043
bing qie 	并且	c=16 d=0.00378752 t=82043
bo 	勃	c=1 d=1.36789e-09 t=82043
bo 	博	c=12 d=0.0452755 t=82043
bo 	波	c=2 d=5.63789e-14 t=82043
bo an 	驳岸	c=13 d=0.0322254 t=82043
bo dong 	波动	c=2 d=1 t=75546
bo fang 	播放	c=1 d=1 t=47755
bo fang qi 	播放器	c=1 d=4.13417e-21 t=82043
bo ke 	博客	c=2 d=8.95624e-57 t=82043
