# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11833
#@/user_id	Window-Corp
a 	啊	c=93 d=5.29402 t=11833
ban li 	辦理	c=2 d=0.00484407 t=11833
ban tian 	半天	c=1 d=0.000605171 t=11833
ban yun 	搬運	c=1 d=0.631284 t=11833
ban zai 	板載	c=1 d=0.00835412 t=11833
bang 	浜	c=4 d=1.60303 t=11353
bang ding 	綁定	c=3 d=0.360606 t=11833
bang ni 	幫你	c=1 d=0.451581 t=11833
bang wo 	幫我	c=1 d=1 t=9851
bang za 	綁紮	c=2 d=1.87372e-05 t=11833
bao 	保	c=3 d=9.05584e-07 t=11833
bao 	包	c=5 d=0.0176926 t=11833
bao 	堡	c=1 d=7.56427e-11 t=11833
bao 	報	c=1 d=0.392586 t=11833
bao 	寶	c=2 d=1.95556 t=11833
bao 	薄	c=1 d=2.33639e-13 t=11833
bao bei 	報備	c=2 d=1.00011 t=11396
bao cun 	保存	c=2 d=5.62407e-16 t=11833
bao cuo 	報錯	c=4 d=0.00628693 t=11833
bao di 	保底	c=1 d=0.00382958 t=11833
bao fa 	爆發	c=2 d=0.358173 t=11833
bao hu ceng 	保護層	c=1 d=1.18918e-09 t=11833
bao li 	暴力	c=0 d=0.0130029 t=11833
bao qi lai 	包起來	c=2 d=0.0324928 t=11833
bao shan 	寶山	c=4 d=0.02789 t=11833
bao xian 	保險	c=2 d=1.56836 t=10008
bao xian mo 	保鮮膜	c=1 d=0.0159229 t=11833
bao xiao 	報銷	c=6 d=4.08862 t=9738
bao you liang 	保有量	c=1 d=0.265803 t=11833
bao yue 	包月	c=1 d=2.71357e-09 t=11833
bao zheng 	保證	c=2 d=0.418952 t=11833
bao zi 	豹子	c=1 d=1 t=11013
bei 	北	c=4 d=0.0734075 t=11833
bei 	唄	c=4 d=0.254191 t=11833
bei 	被	c=10 d=0.325844 t=11833
bei bian 	北邊	c=0 d=0.0256661 t=11833
bei bian de 	北邊的	c=1 d=0.257947 t=11833
bei ce 	北側	c=1 d=1 t=9062
bei fang 	北方	c=1 d=0.0665368 t=11833
bei fen 	備份	c=5 d=0.970348 t=11833
bei fen 	悲憤	c=1 d=3.42647e-18 t=11833
bei guan 	悲觀	c=1 d=1.73591e-18 t=11833
bei jing 	北京	c=5 d=0.0146277 t=11833
bei jing 	背景	c=2 d=6.81215e-06 t=11833
bei zhu 	備註	c=3 d=0.240038 t=11833
bei zi 	被子	c=1 d=4.2874e-08 t=11833
bei zi 	輩子	c=1 d=4.26602e-08 t=11833
ben 	本	c=2 d=0.00775048 t=11833
ben di 	本地	c=7 d=1.11169 t=11833
ben ji 	本機	c=1 d=0.011109 t=11833
ben lai 	本來	c=2 d=0.0205585 t=11833
ben ren 	本人	c=2 d=1.61747e-10 t=11833
ben wen 	本文	c=1 d=0.0403566 t=11833
beng kui 	崩潰	c=1 d=0.0142642 t=11833
bi 	壁	c=1 d=3.03065e-15 t=11833
bi 	幣	c=2 d=1.79176 t=11833
bi 	比	c=5 d=0.496585 t=11833
bi an 	幣安	c=2 d=1.01649e-07 t=11833
bi bei 	必備	c=1 d=0.0131019 t=11833
bi he 	閉合	c=1 d=5.05739e-10 t=11833
bi ji ben 	筆記本	c=3 d=0.0464534 t=11833
bi jiao 	比較	c=5 d=1.23744 t=11833
bi jiao he shi 	比較合適	c=0 d=0.097531 t=11833
bi jing 	畢竟	c=5 d=1.14528 t=11833
bi li 	比例	c=3 d=0.0106298 t=11833
bi shi chang 	比市場	c=1 d=2.13973e-08 t=11833
bi wo 	比我	c=2 d=0.425283 t=11833
bi xiu 	必修	c=2 d=6.76233e-07 t=11833
bi xu 	必須	c=3 d=0.44881 t=11833
bi zhong 	比重	c=1 d=0.0209629 t=11833
bian 	便	c=1 d=4.37699e-16 t=11833
bian 	變	c=8 d=8.32021e-05 t=11833
bian 	邊	c=6 d=0.351589 t=11833
bian cheng 	編程	c=2 d=0.000194082 t=11833
bian cheng 	變成	c=2 d=0.831104 t=11833
bian de 	變得	c=1 d=0.470011 t=11833
bian dong 	變動	c=2 d=0.00195005 t=11833
bian geng 	變更	c=1 d=1.70536e-15 t=11833
bian hao 	編號	c=2 d=0.304221 t=11833
bian hao ju ao 	編號倨傲	c=1 d=1 t=9034
bian hua 	變化	c=1 d=8.91821e-07 t=11833
bian ji 	編輯	c=2 d=0.000163154 t=11833
bian jie 	邊界	c=2 d=1.54881 t=9359
bian kua 	邊跨	c=1 d=8.21689e-14 t=11833
bian kuan 	變寬	c=1 d=0.0359725 t=11833
bian liang 	變量	c=3 d=0.00447597 t=11833
bian shang 	邊上	c=1 d=0.0236356 t=11833
bian wei 	變爲	c=1 d=0.362402 t=11833
bian xian 	變現	c=1 d=6.0548e-10 t=11833
bian xie 	編寫	c=1 d=3.19928e-05 t=11833
bian xing 	變形	c=1 d=0.000145549 t=11833
biao 	標	c=7 d=2.02307 t=11833
biao 	表	c=11 d=1.87239 t=11833
biao ceng 	表層	c=1 d=4.49635e-09 t=11833
biao chu 	標出	c=1 d=0.111917 t=11833
biao chu lai 	標出來	c=1 d=0.045275 t=11833
biao duan 	標段	c=3 d=0.00924034 t=11833
biao duan de 	標段的	c=1 d=1 t=10692
biao gao 	標高	c=26 d=1.66413 t=11833
biao ge 	表格	c=3 d=1.00018 t=11589
biao guan 	表觀	c=2 d=3.00746e-09 t=11833
biao ji suan 	表計算	c=1 d=0.0131019 t=11833
biao mian 	表面	c=3 d=0.826959 t=11833
biao qian 	標籤	c=1 d=0.00151855 t=11833
biao qing 	表情	c=2 d=2.11512e-11 t=11833
biao shi 	標識	c=1 d=2.64747e-13 t=11833
biao shi 	表示	c=6 d=0.508334 t=11833
biao ti 	標題	c=1 d=1.72221e-13 t=11833
biao zhong 	表中	c=2 d=0.319819 t=11833
biao zhu 	標註	c=7 d=0.123133 t=11833
biao zhun 	標準	c=11 d=0.625002 t=11833
biao zhun duan 	標準段	c=1 d=0.0267827 t=11833
biao zhun zhi 	標準值	c=3 d=0.911429 t=11833
bie 	別	c=3 d=0.351692 t=11833
bie de 	別的	c=1 d=1 t=8969
bin 	斌	c=1 d=1 t=9611
bing 	並	c=5 d=0.600496 t=11833
bing fa 	併發	c=1 d=1 t=9587
bing qie 	並且	c=3 d=0.0426589 t=11833
bing si 	病死	c=1 d=0.0411719 t=11833
bo 	博	c=2 d=0.985112 t=11833
bo dong 	波動	c=1 d=1.3783e-10 t=11833
bo duo 	波多	c=1 d=6.31929e-13 t=11833
bo fang 	播放	c=1 d=0.00078095 t=11833
bo ke 	博客	c=1 d=8.59655e-16 t=11833
bo li 	玻璃	c=3 d=0.00029977 t=11833
bo shi 	博士	c=1 d=1.72549e-06 t=11833
bo xi lai 	薄熙來	c=1 d=3.67242e-10 t=11833
bu 	不	c=12 d=1.27916 t=11833
bu 	布	c=3 d=2.3598 t=11598
bu 	步	c=1 d=0.191092 t=11833
bu 	部	c=2 d=0.955997 t=11833
bu ban 	補辦	c=2 d=1.96561 t=10857
bu chang 	不長	c=1 d=0.640824 t=11833
bu cheng gong 	不成功	c=1 d=0.110251 t=11833
bu chong 	補充	c=4 d=3.52977e-06 t=11833
bu chu li 	不處理	c=1 d=8.02792e-05 t=11833
bu cun 	不存	c=1 d=0.00275318 t=11833
bu cun zai 	不存在	c=2 d=2.75924e-16 t=11833
bu cuo 	不錯	c=12 d=0.870273 t=11833
bu da 	不大	c=2 d=0.000246639 t=11833
bu dai 	不帶	c=1 d=2.20985e-05 t=11833
bu dao 	不到	c=2 d=0.00221624 t=11833
bu dei 	不得	c=1 d=0.000495472 t=11833
bu diao 	不掉	c=1 d=2.86846e-15 t=11833
bu ding 	補丁	c=3 d=0.292157 t=11833
bu dou shi 	不都是	c=1 d=3.43184e-07 t=11833
bu dou si 	不都死	c=1 d=3.36388e-07 t=11833
bu dui 	不對	c=2 d=0.740818 t=11833
bu dui ying 	不對應	c=1 d=1 t=10807
bu duo 	不多	c=2 d=0.600496 t=11833
bu en na ge 	不恩那個	c=3 d=0.11915 t=11833
bu fang bian 	不方便	c=2 d=0.111359 t=11833
bu fen 	部分	c=7 d=0.187308 t=11833
bu gou 	不夠	c=4 d=1.5462 t=11833
bu guan xin 	不關心	c=1 d=1 t=9266
bu gui ze 	不規則	c=1 d=2.77697e-16 t=11833
bu guo 	不過	c=12 d=0.508542 t=11833
bu guo lai 	不過來	c=2 d=0.465847 t=11833
bu hao 	不好	c=5 d=0.506617 t=11833
bu hao yi si 	不好意思	c=1 d=8.13236e-10 t=11833
bu he 	不合	c=1 d=0.154124 t=11833
bu he suan 	不合算	c=1 d=0.00103848 t=11833
bu hui 	不回	c=1 d=0.377192 t=11833
bu hui 	不會	c=2 d=0.0142642 t=11833
bu hui fu 	不回覆	c=2 d=8.89892e-18 t=11833
bu hui qu 	不回去	c=1 d=0.000542133 t=11833
bu ji 	不急	c=1 d=6.31606e-07 t=11833
bu ji ru 	不計入	c=1 d=0.283654 t=11833
bu jian dan 	不簡單	c=1 d=0.794534 t=11833
bu jie 	不接	c=1 d=0.00501661 t=11833
bu jin qu 	不進去	c=1 d=6.58054e-19 t=11833
bu jiu 	不久	c=0 d=2.36517e-11 t=11833
bu jiu 	不就	c=1 d=0.0608101 t=11833
bu jiu ke yi 	不久可以	c=1 d=2.37703e-10 t=11833
bu ju 	佈局	c=1 d=2.91836e-12 t=11833
bu ke yong 	不可用	c=1 d=0.122456 t=11833
bu kua 	不跨	c=1 d=1.49386e-16 t=11833
bu kua 	布跨	c=1 d=6.17606e-08 t=11833
bu lai 	不來	c=1 d=7.48518e-05 t=11833
bu le 	不了	c=4 d=0.508628 t=11833
bu liang 	不良	c=1 d=0.044601 t=11833
bu liao 	不了	c=5 d=0.0238732 t=11833
bu man zu 	不滿足	c=1 d=1.2625e-07 t=11833
bu ming 	不明	c=0 d=5.662e-16 t=11833
bu ming bai 	不明白	c=1 d=5.69038e-15 t=11833
bu nen 	不嫩	c=1 d=0.13068 t=11833
bu neng 	不能	c=20 d=0.811319 t=11833
bu o 	不哦	c=1 d=1.12245e-06 t=11833
bu ping 	不平	c=1 d=0.0824965 t=11833
bu qi 	不起	c=2 d=0.0161635 t=11833
bu qing chu 	不清楚	c=1 d=0.0444858 t=11833
bu quan 	補全	c=4 d=0.66365 t=11833
bu que ding 	不確定	c=1 d=2.06754e-16 t=11833
bu ran 	不然	c=4 d=2.06192e-15 t=11833
bu ran tong o 	不然同哦	c=1 d=3.1386e-15 t=11833
bu ren shi 	不認識	c=2 d=0.000236089 t=11833
bu ru 	不如	c=1 d=1 t=10432
bu shang 	不上	c=1 d=1.73892e-09 t=11833
bu she de 	不捨得	c=1 d=1 t=8767
bu shi 	不是	c=11 d=1.31639 t=11833
bu shi yong 	不適用	c=1 d=0.00990218 t=11833
bu shu 	部署	c=4 d=0.99005 t=11833
bu shuo 	不說	c=1 d=0.00421123 t=11833
bu tai 	不太	c=2 d=0.024234 t=11833
bu tie 	補貼	c=6 d=0.0287246 t=11833
bu ting 	不聽	c=2 d=0.0485152 t=11833
bu tong 	不同	c=1 d=0.348192 t=11833
bu wen ding 	不穩定	c=1 d=0.882497 t=11833
bu xia qu 	不下去	c=1 d=6.31499e-05 t=11833
bu xiang 	不想	c=5 d=1.09259 t=11833
bu xiao 	不小	c=1 d=1.03971e-17 t=11833
bu xing 	不行	c=3 d=0.00072983 t=11833
bu xu yao 	不需要	c=1 d=0.0098528 t=11833
bu xuan 	不選	c=1 d=1.68346e-10 t=11833
bu ya 	不雅	c=1 d=0.744532 t=11833
bu yao 	不要	c=6 d=0.48982 t=11833
bu ye 	不也	c=2 d=0.00116007 t=11833
bu yi yan 	不一眼	c=1 d=8.90125e-14 t=11833
bu yi yang 	不一樣	c=1 d=1.44596e-15 t=11833
bu ying gai 	不應該	c=1 d=3.05902e-07 t=11833
bu yong 	不用	c=1 d=0.0409665 t=11833
bu yuan yi 	不願意	c=2 d=0.351692 t=11833
bu zai 	不再	c=2 d=0.00180897 t=11833
bu zai jia 	不在家	c=1 d=0.0547488 t=11833
bu zen me 	不怎麼	c=1 d=1.51252e-15 t=11833
bu zhang 	部長	c=4 d=0.00531609 t=11833
bu zhi 	不知	c=1 d=0.283654 t=11833
bu zhi 	佈置	c=8 d=0.815465 t=11833
bu zhi dao 	不知道	c=9 d=0.978976 t=11833
bu zhi dou 	佈置都	c=1 d=1 t=10199
bu zhi yu 	不至於	c=1 d=0.00278085 t=11833
bu zhu 	不住	c=2 d=1.8781 t=9318
bu zhun 	不準	c=1 d=0.263158 t=11833
bu zhun bei 	不準備	c=1 d=0.396531 t=11833
cai 	才	c=6 d=0.292408 t=11833
cai 	蔡	c=1 d=9.01091e-11 t=11833
cai cha che 	踩剎車	c=1 d=1 t=9132
cai jian 	裁剪	c=1 d=0.00177315 t=11833
cai ke yi 	纔可以	c=1 d=6.51395e-17 t=11833
cai liao 	材料	c=7 d=0.366264 t=11833
cai neng 	才能	c=3 d=0.729649 t=11833
cai qian 	菜乾	c=1 d=0.00504176 t=11833
cai shi 	纔是	c=1 d=0.00315111 t=11833
cai yong 	採用	c=6 d=0.56836 t=11833
cai you 	纔有	c=1 d=2.57457e-08 t=11833
cai zhi 	材質	c=1 d=0.0930145 t=11833
can 	燦	c=1 d=1.09548e-14 t=11833
can dian 	餐點	c=1 d=0.782705 t=11833
can guan 	參觀	c=2 d=1.63138e-16 t=11833
can jia 	參加	c=1 d=3.09082e-11 t=11833
can kao 	參考	c=3 d=0.937837 t=11833
can liu 	殘留	c=1 d=0.0584257 t=11833
can shu 	參數	c=22 d=0.488268 t=11833
cao 	曹	c=3 d=0.279431 t=11833
cao 	槽	c=2 d=8.5618e-09 t=11833
cao 	漕	c=1 d=3.08441e-16 t=11833
cao kao 	曹烤	c=1 d=1 t=11602
cao zuo 	操作	c=9 d=0.96472 t=11833
ce 	側	c=3 d=0.324652 t=11833
ce lve 	策略	c=1 d=0.0361528 t=11833
ce qiang 	側牆	c=2 d=1.58567 t=10164
ce shi 	測試	c=4 d=0.507442 t=11833
ceng 	層	c=14 d=1.68671 t=11833
cha 	岔	c=1 d=1.59391e-14 t=11833
cha 	差	c=5 d=3.73532e-10 t=11833
cha 	插	c=1 d=1.36482e-12 t=11833
cha 	查	c=6 d=0.460704 t=11833
cha 	茶	c=1 d=1.37189e-14 t=11833
cha bu duo 	差不多	c=3 d=0.00852289 t=11833
cha cao 	插槽	c=1 d=0.013912 t=11833
cha jian 	插件	c=3 d=0.054069 t=11833
cha ju 	差距	c=1 d=1.03186e-16 t=11833
cha kan 	查勘	c=1 d=1 t=11157
cha kan 	查看	c=10 d=0.847201 t=11833
cha lu 	岔路	c=1 d=1.05798e-16 t=11833
cha ru 	插入	c=1 d=8.30088e-16 t=11833
cha xun 	查詢	c=1 d=1 t=10863
cha zhao 	查找	c=2 d=1.79852 t=9541
chai qian 	拆遷	c=1 d=0.00506703 t=11833
chan quan 	產權	c=1 d=0.00670434 t=11833
chang 	廠	c=9 d=0.402534 t=11833
chang 	長	c=6 d=0.814647 t=11833
chang an 	長安	c=1 d=1 t=9321
chang du 	長度	c=10 d=1.77645 t=11833
chang fa 	唱法	c=1 d=1 t=11833
chang fang 	廠房	c=1 d=1.40686e-16 t=11833
chang ge 	唱歌	c=1 d=8.94434e-12 t=11833
chang gui 	常規	c=1 d=1 t=8983
chang jia 	廠家	c=1 d=1 t=11620
chang jiang 	長江	c=4 d=0.549411 t=11833
chang jiang lu 	長江路	c=2 d=0.198891 t=11833
chang jiu 	長久	c=1 d=1 t=10591
chang shi 	嘗試	c=1 d=1.15145e-12 t=11833
chang wei 	常委	c=1 d=1.35101e-10 t=11833
chang wu 	常務	c=1 d=9.7614e-11 t=11833
chang zhou 	常州	c=1 d=1 t=10622
chao 	朝	c=1 d=4.01758e-08 t=11833
chao chu 	超出	c=1 d=0.00138093 t=11833
chao ji 	超級	c=1 d=1 t=10932
chao shi 	潮溼	c=1 d=4.55252e-08 t=11833
che 	扯	c=1 d=0.250324 t=11833
che 	車	c=7 d=0.118368 t=11833
che dao 	車道	c=5 d=0.000393491 t=11833
che liang 	車輛	c=1 d=1.59337e-10 t=11833
che pai 	車牌	c=3 d=2.03852 t=11085
che pai hao 	車牌號	c=1 d=1 t=10982
che pi 	扯皮	c=1 d=1 t=11637
che shang 	車上	c=1 d=0.0138427 t=11833
che xian 	車險	c=1 d=1 t=9950
che zai 	車載	c=1 d=1 t=9907
che zhu 	車主	c=1 d=0.0384812 t=11833
chen 	晨	c=1 d=0.865022 t=11833
chen 	陳	c=7 d=1.64715 t=11833
chen chun guang 	陳春光	c=10 d=1.2696 t=11833
chen qing 	陳情	c=0 d=0.0140858 t=11833
chen qing ling 	陳情令	c=1 d=0.141564 t=11833
chen xin 	稱心	c=1 d=1 t=10439
cheng 	城	c=5 d=2.74886e-05 t=11833
cheng 	成	c=5 d=0.506617 t=11833
cheng dan 	承擔	c=1 d=1 t=10491
cheng gong 	成功	c=2 d=5.1578e-06 t=11833
cheng guo 	成果	c=1 d=7.54731e-14 t=11833
cheng jian 	城建	c=2 d=0.000190423 t=11833
cheng pin 	成品	c=1 d=3.23418e-15 t=11833
cheng shi 	城市	c=6 d=0.0065399 t=11833
cheng tai 	城太	c=1 d=4.58952e-15 t=11833
cheng tai 	承臺	c=2 d=2.64635e-06 t=11833
cheng wei 	稱爲	c=1 d=0.00453922 t=11833
cheng xian 	呈現	c=1 d=0.000127168 t=11833
cheng xing 	成型	c=1 d=1.05453e-07 t=11833
cheng xu 	程序	c=7 d=0.0146579 t=11833
cheng zai 	承載	c=1 d=1.9371e-14 t=11833
cheng zai li 	承載力	c=4 d=1.37979 t=11833
cheng zhen 	城鎮	c=1 d=1 t=9504
chi 	吃	c=12 d=2.16766 t=11833
chi 	持	c=1 d=2.4059e-05 t=11833
chi 	池	c=7 d=0.537603 t=11833
chi cun 	尺寸	c=5 d=4.70171e-05 t=11833
chi fan 	吃飯	c=2 d=2.0285e-18 t=11833
chi fan 	喫飯	c=2 d=0.102213 t=11833
chi jian 	尺簡	c=1 d=0.0193512 t=11833
chi la 	吃辣	c=1 d=6.4137e-11 t=11833
chi le 	遲了	c=1 d=4.26529e-06 t=11833
chi wan 	喫完	c=2 d=0.156995 t=11833
chi wan fan 	喫完飯	c=1 d=0.357007 t=11833
chi xu 	持續	c=2 d=1.91393 t=8569
chi yi 	遲疑	c=2 d=9.83931e-05 t=11833
chong 	充	c=2 d=1.74826 t=10942
chong 	衝	c=1 d=1.9559e-10 t=11833
chong 	重	c=1 d=1.70125e-16 t=11833
chong dian 	充電	c=1 d=0.011109 t=11833
chong fen 	充分	c=2 d=5.11042e-09 t=11833
chong he 	重合	c=1 d=7.7584e-15 t=11833
chong lang 	衝浪	c=1 d=8.46569e-12 t=11833
chong qi 	重啓	c=1 d=2.51793e-11 t=11833
chong sheng 	重生	c=1 d=1.02159e-16 t=11833
chong shua 	沖刷	c=3 d=0.000793299 t=11833
chong tu 	衝突	c=2 d=0.0378169 t=11833
chong xin 	重新	c=7 d=0.275271 t=11833
chong xin hui zhi 	重新繪製	c=1 d=1.35847e-16 t=11833
chong zhi 	重置	c=2 d=0.378133 t=11833
chong zhuang 	重裝	c=1 d=3.24763e-05 t=11833
chou 	臭	c=2 d=1.14531 t=11833
chu 	出	c=8 d=0.182685 t=11833
chu 	處	c=6 d=0.0241131 t=11833
chu bu 	初步	c=1 d=0.00336274 t=11833
chu chai 	出差	c=5 d=0.185446 t=11833
chu cun 	儲存	c=1 d=1.40323e-15 t=11833
chu de 	出的	c=1 d=4.89359e-05 t=11833
chu fa 	出發	c=1 d=0.818731 t=11833
chu guo 	出國	c=1 d=1 t=11556
chu jia 	出價	c=1 d=4.65492e-05 t=11833
chu kong ban 	觸控板	c=1 d=0.0209629 t=11833
chu lai 	出來	c=5 d=0.012934 t=11833
chu le 	出了	c=1 d=9.75642e-05 t=11833
chu li 	處理	c=6 d=0.831104 t=11833
chu li qi 	處理器	c=1 d=1 t=11293
chu mo 	觸摸	c=1 d=0.0138069 t=11833
chu mo pan 	觸摸盤	c=1 d=0.138761 t=11833
chu qu 	出去	c=6 d=0.305332 t=11833
chu she 	初設	c=2 d=1.10915 t=9085
chu shi 	出世	c=1 d=0.00251621 t=11833
chu shi 	初始	c=1 d=0.00252883 t=11833
chu shi 	廚師	c=1 d=1.16945e-18 t=11833
chu shi hua 	初始化	c=1 d=0.0169922 t=11833
chu wai 	除外	c=1 d=0.29671 t=11833
chu xian 	出現	c=3 d=0.373439 t=11833
chu xiu 	除銹	c=5 d=1.30909e-08 t=11833
chu xue 	出血	c=1 d=1.88407e-11 t=11833
chu yi 	初一	c=1 d=0.0357578 t=11833
chuan 	傳	c=2 d=0.585669 t=11833
chuan di 	傳遞	c=3 d=5.00571e-05 t=11833
chuang 	牀	c=1 d=0.302704 t=11833
chuang dan 	牀單	c=1 d=4.37401e-08 t=11833
chuang jian 	創建	c=17 d=1.86084 t=11833
chuang kou 	窗口	c=1 d=2.48044e-11 t=11833
chui 	吹	c=1 d=0.00132678 t=11833
chui zhi 	垂直	c=1 d=8.87978e-15 t=11833
chun 	春	c=1 d=8.70098e-11 t=11833
chun guang 	春光	c=2 d=0.00678809 t=11833
chun qiu 	春秋	c=1 d=1 t=11421
chun yun 	春運	c=1 d=0.247833 t=11833
ci 	次	c=1 d=0.486752 t=11833
ci 	此	c=4 d=0.0537027 t=11833
ci chu 	此處	c=2 d=0.0613146 t=11833
ci ji 	刺激	c=1 d=0.000367055 t=11833
ci ke 	刺客	c=2 d=0.732329 t=11833
ci pan 	磁盤	c=4 d=0.248302 t=11833
ci sha 	刺殺	c=1 d=0.00017956 t=11833
ci shi 	此時	c=2 d=0.00638247 t=11833
ci wai 	此外	c=1 d=0.0269169 t=11833
cong 	從	c=3 d=0.350298 t=11833
cu 	粗	c=0 d=0.000527382 t=11833
cu 	醋	c=1 d=0.0702988 t=11833
cu cao 	粗糙	c=1 d=1 t=9344
cui 	催	c=2 d=0.0187309 t=11833
cui 	脆	c=1 d=7.52654e-11 t=11833
cun 	存	c=1 d=0.00351752 t=11833
cun 	村	c=1 d=1 t=11109
cun ru 	存入	c=1 d=2.07078e-05 t=11833
cun zai 	存在	c=7 d=2.08028 t=11833
cuo 	錯	c=2 d=0.134662 t=11833
cuo guo 	錯過	c=1 d=0.551563 t=11833
cuo kai 	錯開	c=1 d=3.74852e-16 t=11833
cuo wu 	錯誤	c=12 d=0.98581 t=11833
da 	大	c=21 d=1.89823 t=11833
da 	打	c=15 d=1.28152 t=11833
da 	搭	c=1 d=4.36718e-19 t=11833
da bao 	打包	c=4 d=0.00530108 t=11833
da bu ding 	打補丁	c=1 d=0.0505395 t=11833
da bu fen 	大部分	c=1 d=1 t=11272
da che 	打車	c=2 d=1.8825 t=9225
da dao 	大刀	c=1 d=0.918512 t=11833
da dao 	大道	c=3 d=0.000127535 t=11833
da di 	大地	c=1 d=1 t=10130
da di 	打的	c=2 d=0.207008 t=11833
da dian hua 	打電話	c=2 d=0.0141223 t=11833
da dou 	打鬥	c=1 d=0.588605 t=11833
da duo 	大多	c=1 d=4.81156e-12 t=11833
da duo shu 	大多數	c=1 d=0.008271 t=11833
da fa 	打法	c=1 d=1 t=9976
da feng 	大風	c=3 d=0.00568399 t=11833
da gai 	大概	c=1 d=0.0862936 t=11833
da gai jiu shi 	大概就是	c=1 d=0.228779 t=11833
da gong 	打工	c=2 d=0.000447164 t=11833
da gong ren 	打工人	c=1 d=0.00449405 t=11833
da gui mo 	大規模	c=2 d=0.0462196 t=11833
da hui 	大會	c=1 d=1.29759e-06 t=11833
da jia 	大家	c=2 d=0.000178971 t=11833
da jia 	打架	c=2 d=4.35294e-10 t=11833
da jian 	搭建	c=1 d=0.102284 t=11833
da kai 	打開	c=5 d=0.367437 t=11833
da kua 	大跨	c=1 d=1.09567e-16 t=11833
da li shi 	大理石	c=4 d=0.379718 t=11833
da lian 	大連	c=1 d=0.0134335 t=11833
da mian e 	大面額	c=1 d=4.11999e-10 t=11833
da nan zi 	大男子	c=1 d=2.86203e-18 t=11833
da qiao 	大橋	c=1 d=0.0623495 t=11833
da quan 	大全	c=1 d=0.193013 t=11833
da sao 	打掃	c=1 d=0.349938 t=11833
da shi 	大事	c=1 d=1 t=10383
da shi 	大師	c=0 d=0.00492917 t=11833
da shi fu 	大師傅	c=1 d=1.24756e-14 t=11833
